start_station_name,lat,lng
19 St & 24 Ave,40.7774552,-73.9225403
61 St & Queens Blvd,40.74091,-73.90273
E 5 St & Ave C,40.72299208,-73.97995466
W 37 St & 10 Ave,40.75660359,-73.9979009
W 74 St & Columbus Ave,40.7785669,-73.97754961
46 St & 28 Ave,40.763328,-73.908782
Vernon Blvd & 41 Rd,40.7552433,-73.9485678
Amsterdam Ave & W 186 St,40.851113,-73.928808
Nassau Ave & Newell St,40.724812564400175,-73.94752621650696
5 Ave & E 87 St,40.78232260730881,-73.95987510681152
Sterling Pl & New York Ave,40.67234,-73.94763
Park Pl & Buffalo Ave,40.67202,-73.92539
Cauldwell Ave & E 158 St,40.81989,-73.908351
Herkimer St & Eastern Pkwy,40.67738,-73.90829
4 Ave & E 12 St,40.732647,-73.99011
Pacific St & Utica Ave,40.6767,-73.93051
55 St & Northern Blvd,40.75326,-73.90585
Bergen St & Saratoga Ave,40.67423,-73.91656
Washington Ave & E 174 St,40.843079,-73.900216
8 Ave & W 33 St,40.751551,-73.993934
Park Ave & E 162 St,40.825716,-73.915585
6 Ave & Walker St,40.7197920901383,-74.0052238852195
Eastern Pkwy & Ralph Ave,40.66852,-73.92284
India St Pier,40.731734785883454,-73.9612390102593
E 144 St & Brook Ave,40.811675,-73.917037
41 St & 3 Ave,40.652512,-74.008906
Hart St & Wyckoff Ave,40.704876,-73.919911
Central Ave & Melrose St,40.70112,-73.93039
E 171 St & Webster Ave,40.838379,-73.905838
Park Ave & E 124 St,40.8045555,-73.9396861
Eastern Pkwy & Troy Ave,40.66929,-73.93679
E 147 St & Bergen Ave,40.814673,-73.91839
E 188 St & Hughes Ave,40.8561,-73.88625
Anthony Ave & E 175 St,40.846465,-73.903869
51 Ave & Junction Blvd,40.74087,-73.86772
National St & 45 Ave,40.74582,-73.86433
Broadway & W 48 St,40.76017739537783,-73.98486793041229
111 St & Roosevelt Ave,40.75147,-73.8557
77 St & 31 Ave,40.75886,-73.89081
Stanhope St & Fairview Ave,40.70998,-73.91116
Irving Ave & Palmetto St,40.698,-73.9127
Coffey St & Conover St,40.677236,-74.015665
53 St & 2 Ave,40.64744,-74.018846
Lafayette Ave & Hunts Point Ave,40.816567,-73.888161
W 12 St & Hudson St,40.73752993301071,-74.00558933615685
7 St & 5 Ave,40.6704922,-73.98541675
West End Ave & W 94 St,40.7941654,-73.974124
Matthews Ct & Coney Island Ave,40.64235,-73.96951
Fort Washington Ave & W 190 St,40.856906,-73.935662
24 Ave & 87 St,40.7654,-73.88256
Warren St & Smith St,40.685424009970184,-73.99127773940563
Stanton St & Mangin St,40.71782143,-73.97628939
Pinehurst Ave & W 187 St,40.855331,-73.937878
Morris Ave & E 142 St,40.814469,-73.924963
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
Wilson Ave & Troutman St,40.70166,-73.92754
Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
Sedgwick Ave & Hall of Fame Terrace,40.859532,-73.913303
E 56 St & Madison Ave,40.761573,-73.972628
72 St & 41 Ave,40.7448,-73.89377
Bushwick Ave & Dekalb Ave,40.69502,-73.92825
Whitehall St & Bridge St,40.703661705241345,-74.0131813287735
Lenox Rd & E 43 St,40.65496,-73.93765
Southern Blvd & E 174 St,40.836733,-73.887931
Columbus Ave & W 72 St,40.7770575,-73.97898475
Bushwick Ave & Linden St,40.69146,-73.92146
Greene Ave & Nostrand Ave,40.6883337,-73.950916
Elmhurst Ave & Forley St,40.74615,-73.87763
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
31 Ave & 57 St,40.757357,-73.904726
Lafayette Ave & Ft Greene Pl,40.68700231292619,-73.97664964199066
Brook Ave & E 141 St,40.809619,-73.917875
E 170 St & Sheridan Ave,40.838315,-73.912604
Broadway & Moylan Pl,40.8143256,-73.9590255
Morris Ave & E 153 St,40.820036,-73.921411
Macombs Rd & W 175 St,40.848177,-73.916082
49 St & 31 Ave,40.758057,-73.909831
Fulton Ave & St Paul's Pl,40.83545,-73.90153
W 52 St & 5 Ave,40.75992262,-73.97648516
Morris Ave & E 163 St,40.827230499624726,-73.91765579597632
Clinton St & 4 Place,40.6783563,-74.00014502
34 Ave & 21 St,40.7628138,-73.9342862
5 Ave & 37 St,40.652657,-74.002356
Division St & Bowery,40.714193,-73.996732
South St & Gouverneur Ln,40.70355377,-74.00670227
3 St & 7 Ave,40.6703837,-73.97839676
56 Dr & 61 St,40.72368,-73.90458
Suydam St & St Nicholas Ave,40.70636,-73.91945
Fort Hamilton Pkwy & E 5 St,40.649037,-73.97673
Decatur Ave & Bedford Park Blvd,40.86813,-73.88412
6 Ave & 60 St,40.638196,-74.013821
Broad St & Bridge St,40.70365182,-74.01167797
E 93 St & 2 Ave,40.782454175279874,-73.9489196240902
34 Ave & 13 St,40.7638753,-73.9364848
31 St & Hoyt Ave N,40.7711528,-73.9170074
65 St & Broadway,40.749372273899596,-73.89738768339157
Calyer St & West St,40.72693,-73.95863
37 St & 24 Ave,40.7701477,-73.9120938
49 Ave & 108 St,40.74535,-73.8558
Harrison St & Hudson St,40.71870987,-74.0090009
Walker St & Baxter St,40.717411,-73.999573
Railroad Ave & Kay Ave,40.70514807698391,-73.97078096866608
Madison Ave & E 99 St,40.78948541553215,-73.95242929458618
E 138 St & 5 Ave,40.81449,-73.936153
Linden St & Knickerbocker Ave,40.69714,-73.91566
E 16 St & Cortelyou Rd,40.64173,-73.96364
Fort Washington Ave & W 173 St,40.84522,-73.940493
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
Church Ave & Story St,40.642031,-73.981073
E Mosholu Pkwy & Van Cortlandt Ave E,40.87656,-73.88366
Broadway & Berry St,40.71036129922581,-73.96530389785767
Riverside Dr & W 78 St,40.78414472,-73.98362492
Cherry St,40.71219906,-73.97948148
21 St & Hoyt Ave S,40.774645,-73.923706
Washington Ave & Empire Blvd,40.66314,-73.9605695
Washington Park,40.6917823,-73.9737299
Broadway & W 53 St,40.76344058,-73.98268129
Amsterdam Ave & W 175 St,40.844044,-73.933651
Dwight St & Dikeman St,40.67487503856169,-74.01048018571481
E 5 St & Cooper Sq,40.72769,-73.990993
60 Ave & Fresh Pond Rd,40.71693,-73.90198
35 St & 23 Ave,40.77301508291382,-73.91119033098221
Butler St & 27 Ave,40.76521,-73.86483
Canal St & Rutgers St,40.71427487,-73.98990025
Southern Blvd & E 180 St,40.84605,-73.88426
8 St & Astoria Blvd,40.7725996921817,-73.93266275525093
Lexington Ave & E 127 St,40.805726,-73.936322
E 106 St & Lexington Ave,40.791976,-73.945993
