City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fort mcmurray,56.7268,-111.381,3.77,65,100,5.66,CA,1696551120
83,hoemul-li,41.4339,129.67,14.03,40,0,2.03,KP,1696551197
84,antsiranana,-12.2787,49.2917,22.92,82,38,7.72,MG,1696551197
85,hawaiian paradise park,19.5933,-154.9731,29.46,70,0,5.66,US,1696551198
86,chui,-33.6971,-53.4616,12.44,73,3,3.47,UY,1696550930
87,duong dong,10.2167,103.9667,29.0,89,40,2.57,VN,1696551198
88,punta arenas,-53.15,-70.9167,5.06,65,20,11.32,CL,1696551199
89,santana,-0.0583,-51.1817,29.1,65,0,5.66,BR,1696551139
90,hats'avan,39.4641,45.9705,7.39,64,37,0.78,AM,1696551200
91,khorramabad,33.4878,48.3558,15.99,22,38,0.89,IR,1696551136
92,san patricio,28.017,-97.5169,23.8,88,100,4.78,US,1696551201
93,sitka,57.0531,-135.33,14.94,82,100,2.57,US,1696551201
94,rodolfo sanchez taboada,31.7167,-116.5667,23.39,74,3,0.45,MX,1696551202
95,karachi,24.9056,67.0822,26.9,83,40,2.57,PK,1696551038
96,san luis de la loma,17.2706,-100.8939,28.7,80,91,1.59,MX,1696551203
97,ar ruseris,11.8659,34.3869,24.93,74,2,2.77,SD,1696551203
98,humahuaca,-23.2054,-65.3505,14.08,11,50,3.22,AR,1696551204
99,alice springs,-23.7,133.8833,19.75,22,2,7.2,AU,1696551205
100,lotoshino,56.2267,35.6414,11.43,86,100,6.43,RU,1696551205
101,vernon,50.2581,-119.2691,19.78,57,73,1.03,CA,1696551206
102,lucapa,-8.4192,20.7447,21.98,40,74,1.69,AO,1696550951
103,pamandzi,-12.7967,45.2794,25.88,83,20,2.06,YT,1696551206
104,castillos,-34.1667,-53.8333,12.68,72,12,4.3,UY,1696551207
105,lihue,21.9789,-159.3672,30.58,80,100,3.09,US,1696551207
106,mohr,54.3528,9.7167,13.97,95,100,4.12,DE,1696551208
107,port mathurin,-19.6833,63.4167,22.67,76,94,8.06,MU,1696551208
108,camaqua,-30.8511,-51.8122,11.92,75,0,1.6,BR,1696551135
109,batticaloa,7.7102,81.6924,25.69,86,75,1.83,LK,1696551209
110,sisimiut,66.9395,-53.6735,1.34,61,100,6.77,GL,1696551210
111,pudasjarvi,65.3833,26.9167,-0.63,80,12,2.51,FI,1696551210
112,pangody,65.85,74.4859,6.14,80,85,12.94,RU,1696551211
113,cozumel,20.5083,-86.9458,29.97,89,40,2.24,MX,1696551211
114,avanigadda,16.0215,80.9181,24.97,79,19,2.38,IN,1696551196
115,ma'rib,15.4591,45.3253,21.65,18,0,0.88,YE,1696551213
116,la peca,-5.6111,-78.435,24.21,66,100,1.81,PE,1696551172
117,papatowai,-46.5619,169.4708,16.4,46,100,3.53,NZ,1696551215
118,jaru,-10.4389,-62.4664,28.66,56,78,2.21,BR,1696551215
119,naze,28.3667,129.4833,23.65,61,13,4.7,JP,1696550925
